timestamp,frame_id,fps,latency_ms,top1_class,confidence,cpu_usage_percent,memory_usage_mb
1766734346.5027328,144,29.98,1.16,clothing,0.6094,15.4,280.0
1766734346.5348775,145,29.98,0.93,clothing,0.6562,21.4,280.0
1766734346.5693312,146,29.98,1.02,clothing,0.5664,28.6,280.0
1766734346.601675,147,29.98,0.98,clothing,0.4531,15.4,280.0
1766734346.6358883,148,29.98,0.98,cardboard_boxes,0.2617,15.4,280.0
1766734346.668006,149,29.98,0.92,clothing,0.3516,23.1,280.0
1766734346.7028258,150,29.98,1.0,disposable_plastic_cutlery,0.4141,15.4,280.0
1766734346.7360954,151,29.98,0.98,clothing,0.5742,21.4,280.0
1766734346.768554,152,29.98,0.93,clothing,0.2812,25.0,280.0
1766734346.8022377,153,29.98,0.94,clothing,0.3672,21.4,280.0
1766734346.8348584,154,30.15,0.94,clothing,0.6406,15.4,280.0
1766734346.8687267,155,30.15,0.93,clothing,0.3906,23.1,280.0
1766734346.9011736,156,30.15,0.97,clothing,0.6172,15.4,280.0
1766734346.9349127,157,30.15,0.93,clothing,0.5469,15.4,280.0
1766734346.9686284,158,30.15,0.93,clothing,0.668,23.1,280.0
1766734347.0017807,159,30.15,0.99,clothing,0.5547,15.4,280.0
1766734347.0355098,160,30.15,0.92,clothing,0.293,23.1,280.0
1766734347.0701756,161,30.15,1.03,clothing,0.5547,21.4,280.0
1766734347.1020179,162,30.15,0.94,clothing,0.668,16.7,280.0
1766734347.1346934,163,30.15,0.93,clothing,0.4531,15.4,280.0
1766734347.168641,164,30.15,0.92,clothing,0.6445,21.4,280.0
1766734347.2009604,165,30.15,0.93,clothing,0.3008,16.7,280.0
1766734347.234683,166,30.15,0.92,clothing,0.5938,21.4,280.0
1766734347.2676942,167,30.15,0.93,clothing,0.418,23.1,280.0
1766734347.30132,168,30.15,0.96,disposable_plastic_cutlery,0.332,8.3,280.0
1766734347.335256,169,30.15,0.95,clothing,0.3398,21.4,280.0
1766734347.3677769,170,30.15,0.93,clothing,0.2539,15.4,280.0
1766734347.4018521,171,30.15,0.97,cardboard_boxes,0.293,21.4,280.0
1766734347.4364243,172,30.15,1.01,clothing,0.4023,16.7,280.0
1766734347.4701617,173,30.15,1.03,cardboard_boxes,0.4844,21.4,280.0
1766734347.5027175,174,30.15,1.01,clothing,0.4609,23.1,280.0
1766734347.5347817,175,30.15,0.93,clothing,0.3555,16.7,280.0
1766734347.5674007,176,30.15,0.93,disposable_plastic_cutlery,0.2578,15.4,280.0
1766734347.6010547,177,30.15,0.96,clothing,0.418,21.4,280.0
1766734347.634733,178,30.15,0.93,clothing,0.6094,16.7,280.0
1766734347.667401,179,30.15,0.92,clothing,0.5469,15.4,280.0
1766734347.7013366,180,30.15,0.98,clothing,0.5547,23.1,280.0
1766734347.7339647,181,30.15,0.93,clothing,0.3086,21.4,280.0
1766734347.768732,182,30.15,0.94,disposable_plastic_cutlery,0.293,16.7,280.0
1766734347.8008568,183,30.15,0.93,cardboard_boxes,0.2656,28.6,280.0
1766734347.8344626,184,30.15,0.93,disposable_plastic_cutlery,0.3594,15.4,280.0
1766734347.8672009,185,30.03,0.93,clothing,0.4922,15.4,280.0
1766734347.900994,186,30.03,0.92,disposable_plastic_cutlery,0.2969,23.1,280.0
1766734347.934678,187,30.03,0.93,clothing,0.293,15.4,280.0
1766734347.9672291,188,30.03,0.93,clothing,0.3203,16.7,280.0
1766734348.001135,189,30.03,0.97,clothing,0.6133,21.4,280.0
1766734348.0338256,190,30.03,0.97,clothing,0.5312,23.1,280.0
1766734348.0676665,191,30.03,0.93,disposable_plastic_cutlery,0.2969,26.7,280.0
1766734348.1004245,192,30.03,0.94,cardboard_boxes,0.2891,30.8,280.0
1766734348.1343143,193,30.03,0.93,disposable_plastic_cutlery,0.2852,8.3,280.0
1766734348.1674101,194,30.03,0.93,clothing,0.5859,21.4,280.0
1766734348.2009215,195,30.03,0.93,clothing,0.4922,16.7,280.0
1766734348.2335575,196,30.03,0.98,clothing,0.3789,21.4,280.0
1766734348.2671127,197,30.03,0.93,clothing,0.5469,23.1,280.0
1766734348.300956,198,30.03,0.93,clothing,0.5859,21.4,280.0
1766734348.3336391,199,30.03,0.99,clothing,0.4297,23.1,280.0
1766734348.367529,200,30.03,0.93,soda_bottles,0.207,21.4,280.0
1766734348.4001257,201,30.03,0.93,clothing,0.4023,21.4,280.0
1766734348.4342024,202,30.03,0.93,clothing,0.2812,9.1,280.0
1766734348.46688,203,30.03,0.93,clothing,0.2656,21.4,280.0
1766734348.5021415,204,30.03,0.95,clothing,0.6133,42.9,280.0
1766734348.5337303,205,30.03,1.02,clothing,0.5742,18.2,280.0
1766734348.567263,206,30.03,0.93,clothing,0.3867,15.4,280.0
1766734348.600942,207,30.03,0.93,cardboard_boxes,0.1992,23.1,280.0
1766734348.6334007,208,30.03,0.97,clothing,0.3125,15.4,280.0
1766734348.6673276,209,30.03,0.93,cardboard_boxes,0.4453,21.4,280.0
1766734348.6999145,210,30.03,0.94,aluminum_food_cans,0.2148,16.7,280.0
1766734348.7337596,211,30.03,0.97,cardboard_boxes,0.3672,21.4,280.0
1766734348.7672126,212,30.03,0.95,clothing,0.3398,35.7,280.0
1766734348.8022745,213,30.03,1.26,cardboard_boxes,0.2617,61.5,280.0
1766734348.8340414,214,30.03,1.06,clothing,0.2852,72.7,280.0
1766734348.865883,215,30.03,0.86,cardboard_boxes,0.3281,53.8,280.0
1766734348.9013798,216,29.98,1.0,clothing,0.3594,28.6,280.0
1766734348.929495,217,29.98,0.77,aluminum_food_cans,0.2383,36.4,280.0
1766734348.9624465,218,29.98,0.67,clothing,0.5352,16.7,280.0
1766734348.9952857,219,29.98,0.67,clothing,0.4805,15.4,280.0
1766734349.0286887,220,29.98,0.68,clothing,0.4648,16.7,280.0
1766734349.0619445,221,29.98,0.67,clothing,0.4844,20.0,280.0
1766734349.0956156,222,29.98,0.68,clothing,0.3203,0.0,280.0
1766734349.1281383,223,29.98,0.67,clothing,0.7539,15.4,280.0
